pos1_x,pos1_y,pos1_z,han1_x,han1_y,han1_z,han2_x,han2_y,han2_z,pos2_x,pos2_y,pos2_z,pt,phi,eta,charge,chi2,ndof
-0.0249075,0.0307602,0.151929,-0.08842823451131322,0.10168310438131872,0.6148580288447487,-0.248366313977082,0.20664731301458317,1.5418172397254555,-0.338043,0.236788,2.00487,0.83719,2.24649,2.28505,-1,15.9837,25
0.0347834,-0.0331766,-0.239554,0.1379612980283788,-0.13432184131506505,-0.8358500522974683,0.34268041393268334,-0.3382719809290057,-2.028443767206318,0.444239,-0.441042,-2.62474,40.3888,-0.774108,-2.12507,1,31.6055,33
0.0347951,-0.0331563,-0.23955,0.13077611586447713,-0.13129340873640624,-0.8061121984460207,0.3736584942872786,-0.2645483680507279,-1.9415406320418809,0.507485,-0.291621,-2.50828,1.03101,-0.848991,-2.12514,-1,44.1025,31
-0.0717045,-0.0311459,-0.161268,-0.38910448668320496,-0.13033041752667113,-0.6483140097884756,-0.35404419074741955,0.846415663862541,-1.9225897109551497,-0.0609451,0.686011,-2.40855,0.481502,-2.65069,-1.17499,1,27.2119,35
-0.00556424,-0.0498402,-0.106314,-0.011630859430080662,-0.1549524337448806,-0.2366258464587478,0.11855383469371526,-0.348603051427547,-0.5133454886076756,0.217552,-0.380779,-0.644611,0.381484,-1.7794,-1.03987,-1,2.04596,5
0.0378934,-0.0280123,-0.164731,0.23613021148110475,-0.1647453494319528,-0.7901488483231807,0.7612557545442838,0.09776934967558776,-2.09251003251479,0.767639,0.33803,-2.71811,0.528027,-0.704332,-1.68268,-1,38.9614,45
0.0435782,0.00527081,-0.0389822,0.0582200625035212,0.006266438093739536,-0.0372127821951154,0.08765040647291465,0.006058379117937014,-0.03365030242164427,0.102275,0.00485384,-0.031868,0.449211,0.177217,0.120278,1,0.101745,1
0.0358878,0.0136074,0.00184448,0.15259382663710686,0.0646571605922911,0.15910116543084452,0.2778560191417145,0.3270447222411871,0.4948535795220451,0.242124,0.448743,0.652552,0.423979,0.311339,1.03789,-1,2.24494,6
0.0324354,0.0192425,-0.16625,0.19884802884281175,0.11189754824547425,-0.7920177914748543,0.5967116845171022,0.015905479590044347,-2.06094857642601,0.710638,-0.126828,-2.68905,0.6262,0.575304,-1.90504,1,46.1972,41
0.0256375,0.0330317,-0.0700528,0.12809775612367205,0.15426712423798583,-0.170209180134522,0.5575155677902748,0.09179802218313227,-0.4236891787519913,0.617892,-0.0556964,-0.522823,0.413252,0.983004,-0.595202,1,3.37143,10
